      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
----------,---------------,------------------------------------------------------------,------------,------------,-----------------
      2017,APRIL          ,Carryover/Other                                             ,          54,         134,             40.3
      2017,APRIL          ,Crew/Engineer Availability                                  ,          10,         134,              7.5
      2017,APRIL          ,Equipment Availability                                      ,           3,         134,              2.2
      2017,APRIL          ,Human Factor                                                ,           7,         134,              5.2
      2017,APRIL          ,Infrastructure Engineering                                  ,           3,         134,              2.2
      2017,APRIL          ,Mechanical                                                  ,          40,         134,             29.9
      2017,APRIL          ,Other                                                       ,           3,         134,              2.2
      2017,APRIL          ,Other Railroads                                             ,           6,         134,              4.5
      2017,APRIL          ,Unpreventable                                               ,           8,         134,                6
      2017,AUGUST         ,Crew/Engineer Availability                                  ,         243,         394,             61.7
      2017,AUGUST         ,Equipment Availability                                      ,          13,         394,              3.3
      2017,AUGUST         ,Human Factor                                                ,           7,         394,              1.8
      2017,AUGUST         ,Infrastructure Engineering                                  ,          54,         394,             13.7
      2017,AUGUST         ,Mechanical                                                  ,          70,         394,             17.8
      2017,AUGUST         ,Other                                                       ,           1,         394,               .3
      2017,AUGUST         ,Other Railroads                                             ,           2,         394,               .5
      2017,AUGUST         ,Unpreventable                                               ,           4,         394,                1
      2017,DECEMBER       ,Crew/Engineer Availability                                  ,          98,         294,             33.3
      2017,DECEMBER       ,Equipment Availability                                      ,          34,         294,             11.6
      2017,DECEMBER       ,Human Factor                                                ,          19,         294,              6.5
      2017,DECEMBER       ,Infrastructure Engineering                                  ,          13,         294,              4.4
      2017,DECEMBER       ,Mechanical                                                  ,          61,         294,             20.7
      2017,DECEMBER       ,Other Railroads                                             ,          32,         294,             10.9
      2017,DECEMBER       ,Unpreventable                                               ,          37,         294,             12.6
      2017,FEBRUARY       ,Carryover/Other                                             ,           3,         151,                2
      2017,FEBRUARY       ,Crew/Engineer Availability                                  ,          17,         151,             11.3
      2017,FEBRUARY       ,Equipment Availability                                      ,           8,         151,              5.3
      2017,FEBRUARY       ,Human Factor                                                ,          22,         151,             14.6
      2017,FEBRUARY       ,Mechanical                                                  ,          39,         151,             25.8
      2017,FEBRUARY       ,Unpreventable                                               ,          62,         151,             41.1
      2017,JANUARY        ,Crew/Engineer Availability                                  ,           2,         113,              1.8
      2017,JANUARY        ,Equipment Availability                                      ,           1,         113,               .9
      2017,JANUARY        ,Human Factor                                                ,           8,         113,              7.1
      2017,JANUARY        ,Mechanical                                                  ,          56,         113,             49.6
      2017,JANUARY        ,Other                                                       ,           1,         113,               .9
      2017,JANUARY        ,Other Railroads                                             ,          31,         113,             27.4
      2017,JANUARY        ,Unpreventable                                               ,          14,         113,             12.4
      2017,JULY           ,Carryover/Other                                             ,          12,         315,              3.8
      2017,JULY           ,Crew/Engineer Availability                                  ,         127,         315,             40.3
      2017,JULY           ,Equipment Availability                                      ,           2,         315,               .6
      2017,JULY           ,Human Factor                                                ,           8,         315,              2.5
      2017,JULY           ,Infrastructure Engineering                                  ,          93,         315,             29.5
      2017,JULY           ,Mechanical                                                  ,          47,         315,             14.9
      2017,JULY           ,Other Railroads                                             ,           7,         315,              2.2
      2017,JULY           ,Unpreventable                                               ,          19,         315,                6
      2017,JUNE           ,Crew/Engineer Availability                                  ,          39,         135,             28.9
      2017,JUNE           ,Equipment Availability                                      ,           3,         135,              2.2
      2017,JUNE           ,Human Factor                                                ,          15,         135,             11.1
      2017,JUNE           ,Infrastructure Engineering                                  ,           1,         135,               .7
      2017,JUNE           ,Mechanical                                                  ,          55,         135,             40.7
      2017,JUNE           ,Other Railroads                                             ,           3,         135,              2.2
      2017,JUNE           ,Unpreventable                                               ,          19,         135,             14.1
      2017,MARCH          ,Crew/Engineer Availability                                  ,          20,         103,             19.4
      2017,MARCH          ,Equipment Availability                                      ,           2,         103,              1.9
      2017,MARCH          ,Human Factor                                                ,           7,         103,              6.8
      2017,MARCH          ,Infrastructure Engineering                                  ,           3,         103,              2.9
      2017,MARCH          ,Mechanical                                                  ,          26,         103,             25.2
      2017,MARCH          ,Other                                                       ,           6,         103,              5.8
      2017,MARCH          ,Unpreventable                                               ,          39,         103,             37.9
      2017,MAY            ,Crew/Engineer Availability                                  ,          46,         142,             32.4
      2017,MAY            ,Human Factor                                                ,           5,         142,              3.5
      2017,MAY            ,Infrastructure Engineering                                  ,           1,         142,               .7
      2017,MAY            ,Mechanical                                                  ,          67,         142,             47.2
      2017,MAY            ,Other Railroads                                             ,           2,         142,              1.4
      2017,MAY            ,Unpreventable                                               ,          21,         142,             14.8
      2017,NOVEMBER       ,Carryover/Other                                             ,           4,         169,              2.4
      2017,NOVEMBER       ,Crew/Engineer Availability                                  ,          49,         169,               29
      2017,NOVEMBER       ,Equipment Availability                                      ,          13,         169,              7.7
      2017,NOVEMBER       ,Human Factor                                                ,          13,         169,              7.7
