      YEAR,MONTH          ,STATUS ,     COUNT,     TOTAL,PERCENTAGE
----------,---------------,-------,----------,----------,----------
      2018,NOVEMBER       ,On Time,     14531,     16563,      87.7
      2026,JULY           ,On Time,     16241,     18433,      88.1
      2019,JULY           ,On Time,     15947,     17801,      89.6
      2020,AUGUST         ,On Time,     14612,     16297,      89.7
      2025,JULY           ,On Time,     16912,     18817,      89.9
      2025,JUNE           ,On Time,     16340,     18128,      90.1
      2024,JULY           ,On Time,     17042,     18772,      90.8
      2025,DECEMBER       ,On Time,     17020,     18743,      90.8
      2024,AUGUST         ,On Time,     16983,     18691,      90.9
      2018,AUGUST         ,On Time,     17280,     18963,      91.1
      2021,NOVEMBER       ,On Time,     15829,     17363,      91.2
      2019,NOVEMBER       ,On Time,     15506,     16949,      91.5
      2018,JANUARY        ,On Time,     17023,     18576,      91.6
      2018,DECEMBER       ,On Time,     15109,     16481,      91.7
      2020,JULY           ,On Time,     15927,     17378,      91.7
      2026,MARCH          ,On Time,     17135,     18677,      91.7
      2018,MARCH          ,On Time,     16879,     18357,      91.9
      2018,OCTOBER        ,On Time,     16328,     17775,      91.9
      2026,FEBRUARY       ,On Time,     14505,     15784,      91.9
      2026,JUNE           ,On Time,     16647,     18105,      91.9
      2019,JUNE           ,On Time,     15571,     16923,        92
      2025,NOVEMBER       ,On Time,     15886,     17242,      92.1
      2023,SEPTEMBER      ,On Time,     16309,     17687,      92.2
      2025,OCTOBER        ,On Time,     17482,     18964,      92.2
      2023,JULY           ,On Time,     16763,     18171,      92.3
      2024,JUNE           ,On Time,     16266,     17626,      92.3
      2019,FEBRUARY       ,On Time,     14113,     15274,      92.4
      2018,JULY           ,On Time,     16989,     18364,      92.5
      2019,OCTOBER        ,On Time,     16857,     18227,      92.5
      2020,DECEMBER       ,On Time,     15598,     16865,      92.5
      2021,SEPTEMBER      ,On Time,     15312,     16554,      92.5
      2026,JANUARY        ,On Time,     15963,     17252,      92.5
      2019,JANUARY        ,On Time,     15672,     16918,      92.6
      2023,JUNE           ,On Time,     16798,     18130,      92.7
      2019,DECEMBER       ,On Time,     16315,     17568,      92.9
      2024,DECEMBER       ,On Time,     17037,     18340,      92.9
      2024,NOVEMBER       ,On Time,     16188,     17412,        93
      2018,SEPTEMBER      ,On Time,     15568,     16696,      93.2
