period,category,cancel_pct
2017-01-01,AMTRAK,45.4
2017-01-01,Crew/Engineer Availability,1
2017-01-01,Equipment Availability,0.5
2017-01-01,Human Factor,3.9
2017-01-01,Mechanical,27.1
2017-01-01,Unpreventable,6.8
2017-02-01,AMTRAK,10.7
2017-02-01,Crew/Engineer Availability,10.1
2017-02-01,Equipment Availability,4.7
2017-02-01,Human Factor,13
2017-02-01,Mechanical,23.1
2017-02-01,Unpreventable,36.7
2017-03-01,AMTRAK,66.6
2017-03-01,Crew/Engineer Availability,6.5
2017-03-01,Equipment Availability,0.6
2017-03-01,Human Factor,2.3
2017-03-01,Mechanical,8.4
2017-03-01,Unpreventable,12.7
2017-04-01,AMTRAK,74.5
2017-04-01,Crew/Engineer Availability,1.9
2017-04-01,Equipment Availability,0.6
2017-04-01,Human Factor,1.3
2017-04-01,Mechanical,7.6
2017-04-01,Unpreventable,1.5
2017-05-01,AMTRAK,2.7
2017-05-01,Crew/Engineer Availability,31.5
2017-05-01,Human Factor,3.4
2017-05-01,Mechanical,45.9
2017-05-01,Unpreventable,14.4
2017-06-01,AMTRAK,2.9
2017-06-01,Crew/Engineer Availability,28.1
2017-06-01,Equipment Availability,2.2
2017-06-01,Human Factor,10.8
2017-06-01,Mechanical,39.6
2017-06-01,Unpreventable,13.7
2017-07-01,AMTRAK,11
2017-07-01,Crew/Engineer Availability,35.9
2017-07-01,Equipment Availability,0.6
2017-07-01,Human Factor,2.3
2017-07-01,Mechanical,13.3
2017-07-01,Unpreventable,5.4
2017-08-01,AMTRAK,4.6
2017-08-01,Crew/Engineer Availability,58.8
2017-08-01,Equipment Availability,3.1
2017-08-01,Human Factor,1.7
2017-08-01,Mechanical,16.9
2017-08-01,Unpreventable,1
2017-09-01,AMTRAK,10.9
2017-09-01,Crew/Engineer Availability,22.2
2017-09-01,Equipment Availability,1.1
2017-09-01,Human Factor,3.4
2017-09-01,Mechanical,16.2
2017-09-01,Unpreventable,31.6
2017-10-01,Crew/Engineer Availability,46.4
2017-10-01,Equipment Availability,2.9
2017-10-01,Human Factor,4
2017-10-01,Mechanical,12.2
2017-10-01,Unpreventable,32
2017-11-01,AMTRAK,5.6
2017-11-01,Crew/Engineer Availability,27.4
2017-11-01,Equipment Availability,7.3
2017-11-01,Human Factor,7.3
2017-11-01,Mechanical,38
2017-11-01,Unpreventable,9.5
2017-12-01,AMTRAK,4.9
2017-12-01,Crew/Engineer Availability,31.7
2017-12-01,Equipment Availability,11
2017-12-01,Human Factor,6.1
2017-12-01,Mechanical,19.7
2017-12-01,Unpreventable,12
2018-01-01,AMTRAK,19.3
2018-01-01,Crew/Engineer Availability,9.4
2018-01-01,Equipment Availability,38.3
2018-01-01,Human Factor,2.1
2018-01-01,Mechanical,17.4
2018-01-01,Unpreventable,8.6
2018-02-01,AMTRAK,17.7
2018-02-01,Crew/Engineer Availability,20.4
2018-02-01,Equipment Availability,5
2018-02-01,Human Factor,7.2
2018-02-01,Mechanical,31.5
2018-02-01,Unpreventable,12.2
2018-03-01,AMTRAK,27.8
2018-03-01,Crew/Engineer Availability,7.5
2018-03-01,Equipment Availability,0.2
2018-03-01,Human Factor,2.1
2018-03-01,Mechanical,5.4
2018-03-01,Unpreventable,47.2
2018-04-01,AMTRAK,11.2
2018-04-01,Crew/Engineer Availability,43.2
2018-04-01,Equipment Availability,4.3
2018-04-01,Human Factor,5.3
2018-04-01,Mechanical,15.5
2018-04-01,Unpreventable,16.5
2018-05-01,AMTRAK,8.2
2018-05-01,Crew/Engineer Availability,29.7
2018-05-01,Equipment Availability,4.2
2018-05-01,Human Factor,4.2
2018-05-01,Mechanical,17
2018-05-01,Unpreventable,20.9
2018-06-01,AMTRAK,3.8
2018-06-01,Crew/Engineer Availability,56.7
2018-06-01,Equipment Availability,3.4
2018-06-01,Human Factor,2.1
2018-06-01,Mechanical,21.6
2018-06-01,Unpreventable,5.2
2018-07-01,AMTRAK,2.6
2018-07-01,Crew/Engineer Availability,45.5
2018-07-01,Equipment Availability,18.5
2018-07-01,Human Factor,6.5
2018-07-01,Mechanical,15.1
2018-07-01,Unpreventable,6.8
2018-08-01,AMTRAK,2.1
2018-08-01,Crew/Engineer Availability,39.1
2018-08-01,Equipment Availability,30.1
2018-08-01,Human Factor,2.1
2018-08-01,Mechanical,10.5
2018-08-01,Unpreventable,11.3
2018-09-01,AMTRAK,12.4
2018-09-01,Crew/Engineer Availability,31.4
2018-09-01,Equipment Availability,23
2018-09-01,Human Factor,7.6
2018-09-01,Mechanical,15.4
2018-09-01,Unpreventable,7.8
2018-10-01,AMTRAK,7.4
2018-10-01,Crew/Engineer Availability,23.4
2018-10-01,Equipment Availability,17
2018-10-01,Human Factor,3.3
2018-10-01,Mechanical,19.2
2018-10-01,Unpreventable,10.4
2018-11-01,AMTRAK,16.7
2018-11-01,Crew/Engineer Availability,2.9
2018-11-01,Equipment Availability,18.5
2018-11-01,Human Factor,4.4
2018-11-01,Mechanical,11.4
2018-11-01,Unpreventable,39.6
2018-12-01,AMTRAK,0.2
2018-12-01,Crew/Engineer Availability,15.2
2018-12-01,Equipment Availability,57.1
2018-12-01,Human Factor,0.9
2018-12-01,Mechanical,17.3
2018-12-01,Unpreventable,4.6
2019-01-01,AMTRAK,5.7
2019-01-01,Crew/Engineer Availability,4.7
2019-01-01,Equipment Availability,49.5
2019-01-01,Human Factor,0.5
2019-01-01,Mechanical,25.9
2019-01-01,Unpreventable,7.5
2019-02-01,AMTRAK,4.5
2019-02-01,Crew/Engineer Availability,17.4
2019-02-01,Equipment Availability,5.3
2019-02-01,Human Factor,2
2019-02-01,Mechanical,16.9
2019-02-01,Unpreventable,16.6
2019-03-01,AMTRAK,21.2
2019-03-01,Crew/Engineer Availability,30.7
2019-03-01,Equipment Availability,7.9
2019-03-01,Human Factor,3.7
2019-03-01,Mechanical,18.5
2019-03-01,Unpreventable,2.6
2019-04-01,AMTRAK,2.2
2019-04-01,Crew/Engineer Availability,29
2019-04-01,Equipment Availability,2.2
2019-04-01,Human Factor,4.9
2019-04-01,Mechanical,20.2
2019-04-01,Unpreventable,38.3
2019-05-01,AMTRAK,4.4
2019-05-01,Crew/Engineer Availability,41
2019-05-01,Equipment Availability,12.2
2019-05-01,Human Factor,3.1
2019-05-01,Mechanical,15.7
2019-05-01,Unpreventable,11.4
2019-06-01,AMTRAK,8.6
2019-06-01,Crew/Engineer Availability,64.5
2019-06-01,Equipment Availability,6.2
2019-06-01,Human Factor,2
2019-06-01,Mechanical,10.3
2019-06-01,Unpreventable,6.7
2019-07-01,AMTRAK,6.4
2019-07-01,Crew/Engineer Availability,32.4
2019-07-01,Equipment Availability,13.6
2019-07-01,Human Factor,2.7
2019-07-01,Mechanical,20.2
2019-07-01,Unpreventable,20.2
2019-08-01,AMTRAK,1.2
2019-08-01,Crew/Engineer Availability,53
2019-08-01,Equipment Availability,7.2
2019-08-01,Human Factor,4
2019-08-01,Mechanical,16.3
2019-08-01,Unpreventable,15.1
2019-09-01,AMTRAK,0.3
2019-09-01,Crew/Engineer Availability,59.3
2019-09-01,Equipment Availability,3.9
2019-09-01,Human Factor,7.5
2019-09-01,Mechanical,14
2019-09-01,Unpreventable,6.5
2019-10-01,AMTRAK,4.7
2019-10-01,Crew/Engineer Availability,31.2
2019-10-01,Equipment Availability,2.3
2019-10-01,Human Factor,8.4
2019-10-01,Mechanical,22.3
2019-10-01,Unpreventable,14.9
2019-11-01,AMTRAK,4.1
2019-11-01,Crew/Engineer Availability,48
2019-11-01,Equipment Availability,5.3
2019-11-01,Human Factor,2.5
2019-11-01,Mechanical,15.6
2019-11-01,Unpreventable,18
2019-12-01,Crew/Engineer Availability,52.7
2019-12-01,Equipment Availability,2.2
2019-12-01,Human Factor,3.8
