year,month,status,on_time_count,total_trips,on_time_pct,month_num,period
2017,JANUARY,On Time,17036,18271,93.2,1,2017-01-01
2017,FEBRUARY,On Time,15596,16765,93,2,2017-02-01
2017,MARCH,On Time,17204,18398,93.5,3,2017-03-01
2017,APRIL,On Time,14974,17188,87.1,4,2017-04-01
2017,MAY,On Time,16096,18525,86.9,5,2017-05-01
2017,JUNE,On Time,15854,18186,87.2,6,2017-06-01
2017,JULY,On Time,16635,17948,92.7,7,2017-07-01
2017,AUGUST,On Time,17604,18866,93.3,8,2017-08-01
2017,SEPTEMBER,On Time,16182,17518,92.4,9,2017-09-01
2017,OCTOBER,On Time,16956,18630,91,10,2017-10-01
2017,NOVEMBER,On Time,16801,18179,92.4,11,2017-11-01
2017,DECEMBER,On Time,16458,18226,90.3,12,2017-12-01
2018,JANUARY,On Time,16259,18576,87.5,1,2018-01-01
2018,FEBRUARY,On Time,15949,16767,95.1,2,2018-02-01
2018,MARCH,On Time,16182,18357,88.2,3,2018-03-01
2018,APRIL,On Time,16793,18120,92.7,4,2018-04-01
2018,MAY,On Time,17288,18844,91.7,5,2018-05-01
2018,JUNE,On Time,16579,17920,92.5,6,2018-06-01
2018,JULY,On Time,16577,18364,90.3,7,2018-07-01
2018,AUGUST,On Time,17048,18963,89.9,8,2018-08-01
2018,SEPTEMBER,On Time,15221,16696,91.2,9,2018-09-01
2018,OCTOBER,On Time,15689,17775,88.3,10,2018-10-01
2018,NOVEMBER,On Time,13608,16563,82.2,11,2018-11-01
2018,DECEMBER,On Time,14826,16481,90,12,2018-12-01
2019,JANUARY,On Time,15085,16918,89.2,1,2019-01-01
2019,FEBRUARY,On Time,13556,15274,88.8,2,2019-02-01
2019,MARCH,On Time,15717,16829,93.4,3,2019-03-01
2019,APRIL,On Time,15776,16822,93.8,4,2019-04-01
2019,MAY,On Time,16453,17661,93.2,5,2019-05-01
2019,JUNE,On Time,15230,16923,90,6,2019-06-01
2019,JULY,On Time,15537,17801,87.3,7,2019-07-01
2019,AUGUST,On Time,16336,17747,92,8,2019-08-01
2019,SEPTEMBER,On Time,15556,16900,92,9,2019-09-01
2019,OCTOBER,On Time,16605,18227,91.1,10,2019-10-01
2019,NOVEMBER,On Time,15118,16949,89.2,11,2019-11-01
2019,DECEMBER,On Time,16040,17568,91.3,12,2019-12-01
2020,JANUARY,On Time,16426,17675,92.9,1,2020-01-01
2020,FEBRUARY,On Time,15170,16285,93.2,2,2020-02-01
2020,MARCH,On Time,15063,15926,94.6,3,2020-03-01
2020,APRIL,On Time,11701,12226,95.7,4,2020-04-01
2020,MAY,On Time,11835,12351,95.8,5,2020-05-01
2020,JUNE,On Time,11742,12153,96.6,6,2020-06-01
2020,JULY,On Time,15714,17378,90.4,7,2020-07-01
2020,AUGUST,On Time,14592,16297,89.5,8,2020-08-01
2020,SEPTEMBER,On Time,16162,16808,96.2,9,2020-09-01
2020,OCTOBER,On Time,16743,17504,95.7,10,2020-10-01
2020,NOVEMBER,On Time,15138,16357,92.5,11,2020-11-01
2020,DECEMBER,On Time,15538,16865,92.1,12,2020-12-01
2021,JANUARY,On Time,15558,16573,93.9,1,2021-01-01
2021,FEBRUARY,On Time,13088,14261,91.8,2,2021-02-01
2021,MARCH,On Time,16639,17730,93.8,3,2021-03-01
2021,APRIL,On Time,16186,17076,94.8,4,2021-04-01
2021,MAY,On Time,15863,16794,94.5,5,2021-05-01
2021,JUNE,On Time,16457,17557,93.7,6,2021-06-01
2021,JULY,On Time,16497,17805,92.7,7,2021-07-01
2021,AUGUST,On Time,16741,18036,92.8,8,2021-08-01
2021,SEPTEMBER,On Time,14747,16554,89.1,9,2021-09-01
2021,OCTOBER,On Time,16231,17598,92.2,10,2021-10-01
2021,NOVEMBER,On Time,15559,17363,89.6,11,2021-11-01
2021,DECEMBER,On Time,17366,18537,93.7,12,2021-12-01
2022,JANUARY,On Time,16655,17908,93,1,2022-01-01
2022,FEBRUARY,On Time,15372,16512,93.1,2,2022-02-01
2022,MARCH,On Time,17066,18334,93.1,3,2022-03-01
2022,APRIL,On Time,16811,17734,94.8,4,2022-04-01
2022,MAY,On Time,16865,18178,92.8,5,2022-05-01
2022,JUNE,On Time,16764,18129,92.5,6,2022-06-01
2022,JULY,On Time,16760,18101,92.6,7,2022-07-01
2022,AUGUST,On Time,17326,18928,91.5,8,2022-08-01
2022,SEPTEMBER,On Time,16504,17881,92.3,9,2022-09-01
2022,OCTOBER,On Time,16588,18112,91.6,10,2022-10-01
2022,NOVEMBER,On Time,16051,17630,91,11,2022-11-01
2022,DECEMBER,On Time,16911,18316,92.3,12,2022-12-01
2023,JANUARY,On Time,17158,18053,95,1,2023-01-01
2023,FEBRUARY,On Time,15310,16544,92.5,2,2023-02-01
2023,MARCH,On Time,17183,18753,91.6,3,2023-03-01
2023,APRIL,On Time,16201,17408,93.1,4,2023-04-01
2023,MAY,On Time,16802,18464,91,5,2023-05-01
2023,JUNE,On Time,16387,18130,90.4,6,2023-06-01
2023,JULY,On Time,16164,18171,89,7,2023-07-01
2023,AUGUST,On Time,17252,18983,90.9,8,2023-08-01
2023,SEPTEMBER,On Time,15686,17687,88.7,9,2023-09-01
2023,OCTOBER,On Time,16754,18583,90.2,10,2023-10-01
2023,NOVEMBER,On Time,16196,17696,91.5,11,2023-11-01
2023,DECEMBER,On Time,16238,17921,90.6,12,2023-12-01
2024,JANUARY,On Time,16452,18404,89.4,1,2024-01-01
2024,FEBRUARY,On Time,15971,17313,92.2,2,2024-02-01
2024,MARCH,On Time,17070,18346,93,3,2024-03-01
2024,APRIL,On Time,16501,18202,90.7,4,2024-04-01
2024,MAY,On Time,16616,18564,89.5,5,2024-05-01
2024,JUNE,On Time,14666,17626,83.2,6,2024-06-01
2024,JULY,On Time,16486,18772,87.8,7,2024-07-01
2024,AUGUST,On Time,16273,18691,87.1,8,2024-08-01
2024,SEPTEMBER,On Time,16068,17636,91.1,9,2024-09-01
2024,OCTOBER,On Time,17199,18859,91.2,10,2024-10-01
2024,NOVEMBER,On Time,15653,17412,89.9,11,2024-11-01
2024,DECEMBER,On Time,16335,18340,89.1,12,2024-12-01
2025,JANUARY,On Time,16428,18436,89.1,1,2025-01-01
2025,FEBRUARY,On Time,14570,16611,87.7,2,2025-02-01
2025,MARCH,On Time,16599,18425,90.1,3,2025-03-01
2025,APRIL,On Time,16604,18250,91,4,2025-04-01
2025,MAY,On Time,14663,16250,90.2,5,2025-05-01
2025,JUNE,On Time,15671,18128,86.4,6,2025-06-01
2025,JULY,On Time,16357,18817,86.9,7,2025-07-01
2025,AUGUST,On Time,16947,18549,91.4,8,2025-08-01
2025,SEPTEMBER,On Time,16681,18104,92.1,9,2025-09-01
2025,OCTOBER,On Time,17036,18964,89.8,10,2025-10-01
2025,NOVEMBER,On Time,15447,17242,89.6,11,2025-11-01
2025,DECEMBER,On Time,16445,18743,87.7,12,2025-12-01
2026,JANUARY,On Time,15466,17252,89.6,1,2026-01-01
2026,FEBRUARY,On Time,13928,15784,88.2,2,2026-02-01
2026,MARCH,On Time,16351,18677,87.5,3,2026-03-01
2026,APRIL,On Time,16445,18291,89.9,4,2026-04-01
2026,MAY,On Time,15935,18135,87.9,5,2026-05-01
2026,JUNE,On Time,16002,18105,88.4,6,2026-06-01
2026,JULY,On Time,15790,18433,85.7,7,2026-07-01
